route_pattern,route_type,source_file,data_source,public_or_internal,language,sitemap_included,navigation_linked,production_status,notes
/knowledge/[categorySlug],dynamic-page,app/knowledge/[categorySlug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/knowledge/[categorySlug]/[slug],dynamic-page,app/knowledge/[categorySlug]/[slug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/news,static-page,app/news/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/news/[slug],dynamic-page,app/news/[slug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/products,static-page,app/products/page.tsx,app-router,public,zh-CN,LIKELY,YES,NOT_CHECKED,derived from page.tsx
/products/[categorySlug],dynamic-page,app/products/[categorySlug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/products/[categorySlug]/[productSlug],dynamic-page,app/products/[categorySlug]/[productSlug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/search,static-page,app/search/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/service,static-page,app/service/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/solutions,static-page,app/solutions/page.tsx,app-router,public,zh-CN,LIKELY,YES,NOT_CHECKED,derived from page.tsx
/solutions/[slug],dynamic-page,app/solutions/[slug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/videos,static-page,app/videos/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/videos/[slug],dynamic-page,app/videos/[slug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
